23600,AGILE,MCAL,GRB 190103A,True,2019-01-03 16:42:15.05,,,,,,,,&gamma;-ray
23602,Swift,BAT,GRB 190103B,True,2019-01-03 21:03:51,212.569,14:10:16.68,35.262,+35:15:42.1,0.08000,,,&gamma;-ray
23602,Swift,XRT,GRB 190103B,True,2019-01-03 21:03:51,212.569,14:10:16.68,35.262,+35:15:42.1,0.08000,,,X-ray
23602,Swift,UVOT,GRB 190103B,False,2019-01-03 21:03:51,,,,,,,,
23603,Swift,XRT,GRB 190103B,True,2019-01-03,212.569,14:10:16.63,35.261,+35:15:39.6,0.02833,,,X-ray
23604,Swift,XRT,GRB 190103B,True,2019-01-03,,,,,,,,X-ray
23605,IceCube,IceCube,IC 190104A,True,2019-01-04 08:34:38.23,357.98,23:51:55.20,-26.65,-26:38:60.00,150.00000,,,&nu;
23606,Swift,BAT,GRB 190103B,True,2019-15-15,212.561,14:10:14.6,35.254,+35:15:13.4,1.30000,,,&gamma;-ray
23607,Bassano Bresciano,Bassano Bresciano,GRB 190103B,False,2019-01-03,,,,,,,,
23608,Fermi,LAT,IC 190104A,False,2019-01-04,,,,,,,,
23609,AstroSat,CZTI,GRB 190103A,True,2019-40-20 16:42:16.500,,,,,,,,X-ray
23610,MASTER,MASTER,IC 190104A,False,2019-01-04,,,,,,,,
23611,ANTARES,ANTARES,IC 190104A,False,2019-01-04,,,,,,,,
23612,Konus,Wind,GRB 190103B,True,2019-01-03 21:03:52.010,,,,,,,,X-ray
23613,IceCube,IceCube,IC 190104A,True,2019-01-03 08:34:38,,,,,,,,&nu;
23614,MASTER,MASTER,GRB 190106A,True,2019-01-06,,,,,,,,optical
23615,Swift,BAT,GRB 190106A,True,2019-01-06 13:34:44,29.880,01:59:31.18,23.846,+23:50:44.0,0.01017,,,&gamma;-ray
23615,Swift,XRT,GRB 190106A,True,2019-01-06 13:34:44,29.880,01:59:31.18,23.846,+23:50:44.0,0.01017,,,X-ray
23615,Swift,UVOT,GRB 190106A,True,2019-01-06 13:34:44,29.880,01:59:31.18,23.846,+23:50:44.0,0.01017,,,optical
23616,MASTER,MASTER,GRB 190106A,True,2019-01-06,,,,,,,,optical
23617,MITSuME,MITSuME,GRB 190106A,True,2019-01-06,,,,,,,,optical
23618,GMG,GMG,GRB 190106A,True,2019-01-06,,,,,,,,optical
23619,Swift,XRT,GRB 190106A,True,2019-01-06,29.880,01:59:31.21,23.845,+23:50:43.6,0.03000,,,X-ray
23620,TSHAO,TSHAO,GRB 190106A,True,2019-01-06,,,,,,,,optical
23621,Fermi,GBM,IC 190104A,False,2019-01-04,,,,,,,,
23622,GWAC,GWAC,GRB 190106A,True,2019-01-06,,,,,,,,optical
23623,Xinglong,Xinglong,GRB 190106A,True,2019-01-06,,,,,,,,optical
23624,Bassano Bresciano,Bassano Bresciano,GRB 190106A,True,2019-01-06,29.881,01:59:31.50,23.846,+23:50:44.7,0.03333,,,optical
23625,Swift,BAT,GRB 190106A,True,2019-15-15,29.877,01:59:30.6,23.839,+23:50:20.8,1.00000,,,&gamma;-ray
23626,Swift,UVOT,GRB 190106A,True,2019-01-06,29.880,01:59:31.16,23.846,+23:50:43.9,0.00700,,,optical
23627,BOOTES-4,MET,GRB 190106A,True,2019-01-06,,,,,,,,optical
23628,OASDG,OASDG,GRB 190106A,True,2019-01-06,,,,,,,,optical
23629,Xinglong,Xinglong,GRB 190106A,True,2019-01-06,,,,,,1.8600,0.01,optical
23630,GMG,GMG,GRB 190106A,True,2019-01-06,,,,,,1.8600,0.01,optical
23631,CALET,CGBM,GRB 190103B,True,2019-01-20 21:03:46.478,,,,,,,,HE
23632,VLT,X-shooter,GRB 190106A,True,2019-01-06,,,,,,1.8590,0.001,optical
23633,Swift,XRT,GRB 190106A,True,2019-01-06,,,,,,1.8600,0.01,X-ray
23634,GMG,GMG,GRB 190106A,True,2019-01-06,,,,,,,,optical
23635,IERCOO,ICSP,GRB 190106A,True,2019-01-06,29.880,01:59:31.17,23.846,+23:50:43.94,0.00767,,,optical
23636,Xinglong,Xinglong,GRB 190106A,True,2019-01-06,,,,,,,,optical
23637,Konus,Wind,GRB 190106A,True,2019-01-06 13:34:47.602,,,,,,1.8590,0.001,X-ray
23638,TSHAO,TSHAO,GRB 190106A,True,2019-01-06,,,,,,,,optical
23640,Mondy,Mondy,GRB 190106A,True,2019-01-06,,,,,,,,optical
23641,Swift,XRT,IC 190104A,False,2019-01-04,,,,,,,,
23642,Swift,BAT,GRB 190109A,True,2019-01-09 05:12:41,33.204,02:12:49.03,38.107,+38:06:24.8,0.06500,,,&gamma;-ray
23642,Swift,XRT,GRB 190109A,True,2019-01-09 05:12:41,33.204,02:12:49.03,38.107,+38:06:24.8,0.06500,,,X-ray
23642,Swift,UVOT,GRB 190109A,False,2019-01-09 05:12:41,,,,,,,,
23643,Swift,XRT,GRB 190109A,True,2019-Dec:-33,33.202,02:12:48.48,38.108,+38:06:29.1,0.03333,,,X-ray
23644,Swift,XRT,GRB 190109A,True,2019-01-09,33.202,02:12:48.52,38.109,+38:06:30.7,0.03000,,,X-ray
